Columna1;Columna2;Columna3
Columna1;;
Category, Type, Value;;
Rank, Language, Share;;
1, Python, 29.66%;;
2, Java, 15.64%;;
3, JavaScript, 8.3%;;
4, C#, 6.64%;;
5, C/C++, 6.46%;;
6, R, 4.66%;;
7, PHP, 4.35%;;
8, TypeScript, 2.96%;;
9, Swift, 2.69%;;
10, Rust, 2.65%;;
11, Objective-C, 2.45%;;
12, Go, 2.08%;;
13, Kotlin, 1.95%;;
14, Matlab, 1.45%;;
15, Ruby, 0.99%;;
16, VBA, 0.97%;;
17, Powershell, 0.96%;;
18, Ada, 0.96%;;
19, Dart, 0.94%;;
20, Lua, 0.69%;;
21, Abap, 0.59%;;
22, Scala, 0.57%;;
23, Visual Basic, 0.47%;;
24, Julia, 0.29%;;
25, Groovy, 0.23%;;
26, Cobol, 0.21%;;
27, Perl, 0.08%;;
28, Delphi/Pascal, 0.07%;;
29, Haskell, 0.06%;;
;;
Trend, Language, 1-year Trend;;
Python, +1.6%;;
Java, -0.2%;;
JavaScript, -1.0%;;
C#, -0.1%;;
C/C++, -0.2%;;
R, +0.2%;;
PHP, -0.5%;;
TypeScript, -0.0%;;
Swift, +0.0%;;
Rust, +0.6%;;
Objective-C, +0.2%;;
Go, +0.2%;;
Kotlin, +0.2%;;
Matlab, -0.1%;;
Ruby, -0.1%;;
VBA, +0.0%;;
Powershell, +0.1%;;
Ada, -0.1%;;
Dart, -0.0%;;
Lua, +0.1%;;
Abap, -0.0%;;
Scala, -0.1%;;
Visual Basic, -0.1%;;
Julia, -0.1%;;
Groovy, -0.1%;;
Cobol, -0.0%;;
Perl, -0.2%;;
Delphi/Pascal, -0.1%;;
Haskell, -0.2%;;
